date,nav,scheme_code,scheme_name,fund_house
2019-09-06,52.6455,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-09-05,52.2783,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-09-04,52.1216,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-09-03,51.9742,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-30,52.3752,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-29,52.0987,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-28,52.4938,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-27,52.5731,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-26,52.0341,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-23,51.3091,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-22,51.038,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-21,51.522,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-20,51.9247,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-19,51.9983,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-16,52.0211,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-14,51.7299,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-13,51.0979,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-09,51.6177,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-08,51.2595,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-07,51.1681,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-06,51.0319,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-05,50.5861,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-02,51.0349,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-08-01,51.3082,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-31,51.9017,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-30,51.466,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-29,52.1616,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-26,52.5686,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-25,52.5207,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-24,52.7374,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-23,53.155,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-22,53.024,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-19,53.4029,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-18,54.0147,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-17,54.319,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-16,54.0856,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-15,54.1461,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-12,54.2785,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-11,54.0984,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-10,53.8443,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-09,54.0836,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-08,54.1644,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-05,54.8561,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-04,55.4699,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-03,55.3738,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-02,55.456,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-07-01,55.3031,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-28,55.224,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-27,55.097,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-26,54.9657,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-25,54.4957,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-24,54.1894,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-21,54.4826,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-20,54.4507,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-19,54.0946,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-18,54.3588,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-17,54.651,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-14,55.2265,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-13,55.3583,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-12,55.6663,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-11,55.677,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-10,55.7431,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-07,56.094,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-06,56.1253,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-04,56.7067,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-06-03,56.7417,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-31,56.4804,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-30,56.1882,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-29,56.3573,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-28,56.5415,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-27,55.9036,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-24,54.9948,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-23,53.9873,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-22,54.0958,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-21,54.0838,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-20,54.4867,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-17,53.073,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-16,52.9338,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-15,53.0303,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-14,53.1004,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-13,52.8389,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-10,53.706,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-09,53.7084,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-08,53.8583,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-07,54.3424,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-06,54.4976,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2019-05-03,54.897,120841,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
