date,nav,scheme_code,scheme_name,fund_house
2015-07-03,31.7734,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-07-02,31.5581,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-07-01,31.4503,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-30,31.1456,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-29,30.6479,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-26,31.0294,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-25,31.0607,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-24,30.9998,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-23,30.8937,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-22,30.7491,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-19,30.5701,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-18,30.4689,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-17,30.0202,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-16,29.497,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-15,29.5041,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-12,29.2746,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-11,29.1922,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-10,29.6228,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-09,29.2003,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-08,29.3979,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-05,29.7033,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-04,29.4409,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-03,29.5373,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-02,29.8851,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-06-01,30.3029,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-29,30.5261,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-28,30.3566,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-27,30.3406,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-26,30.5493,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-25,30.681,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-22,30.8954,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-21,30.8716,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-20,30.9295,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-19,31.0088,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-18,31.1586,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-15,31.0965,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-14,30.5463,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-13,30.4511,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-12,30.1822,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-11,30.6452,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-08,29.884,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-07,29.4468,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-06,30.0312,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-05,30.6932,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-05-04,30.6068,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-30,30.1525,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-29,30.1521,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-28,29.7529,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2015-04-27,29.674,119551,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
